,YEAR,TEAM NO_A,TEAM NO_B,Team1_Seed,Team2_Seed,Prediction1,Prediction2,Prob_T1_Wins_a,Prob_T1_Wins_b,Team1_Name,Team2_Name,Winner_Name
64,2025,1122,1081,3.0,11.0,1,1.0,1,1.0,Kentucky,Xavier,Kentucky
65,2025,1101,1137,4.0,5.0,1,1.0,1,1.0,Purdue,Clemson,Purdue
66,2025,1141,1092,1.0,4.0,1,1.0,1,1.0,Auburn,Texas A&M,Auburn
67,2025,1141,1114,1.0,5.0,1,1.0,1,1.0,Auburn,Michigan,Auburn
68,2025,1131,1117,1.0,4.0,1,1.0,1,1.0,Florida,Maryland,Florida
69,2025,1131,1115,1.0,5.0,1,1.0,1,1.0,Florida,Memphis,Florida
70,2025,1132,1143,1.0,4.0,1,1.0,1,1.0,Duke,Arizona,Duke
71,2025,1132,1102,1.0,5.0,1,1.0,1,1.0,Duke,Oregon,Duke
72,2025,1126,1101,1.0,4.0,1,1.0,1,1.0,Houston,Purdue,Houston
73,2025,1126,1137,1.0,5.0,1,1.0,1,1.0,Houston,Clemson,Houston
